iter	Passed	Remaining
0	1	59
1	2	51
2	3	52
3	4	49
4	5	47
5	6	47
6	7	45
7	8	44
8	9	43
9	10	42
10	11	41
11	12	39
12	13	38
13	14	37
14	15	36
15	16	34
16	17	33
17	18	32
18	19	31
19	19	29
20	20	28
21	21	27
22	22	26
23	23	25
24	24	24
25	25	23
26	26	22
27	27	21
28	28	20
29	29	19
30	29	18
31	30	17
32	31	16
33	32	15
34	33	14
35	34	13
36	35	12
37	35	11
38	36	10
39	37	9
40	38	8
41	39	7
42	39	6
43	40	5
44	41	4
45	42	3
46	43	2
47	44	1
48	45	0
49	46	0
